model	percentile	io_type	io_size	latency
AFA	0	nsRead	128.0	0.000000000000000000000000000000000000
AFA	1	write	0.5	0.046885256619810395554102647924158222
AFA	3	write	16.0	0.072041414141414141414141414141414141
AFA	4	write	256.0	0.360896226415094339622641509433962264
AFA	6	write	8.0	0.059473590395554274030774070093580435
AFA	7	nsRead	0.0	0.001041666666666666666666666666666667
AFA	7	nsRead	1.0	0.084561643835616438356164383561643836
AFA	10	nsRead	1.0	0.113261491317671092951991828396322778
AFA	10	nsRead	128.0	0.596795553954613286677301497452786497
AFA	12	nsRead	0.5	0.170673944364402083564224758949351657
AFA	15	nsRead	4.0	0.228166666666666666666666666666666667
AFA	15	seqRead	16.0	0.094498383620689655172413793103448276
AFA	16	write	0.0	0.000617283950617283950617283950617284
AFA	17	nsRead	512.0	1.648636363636363636363636363636363636
AFA	17	write	16.0	0.084666666666666666666666666666666667
AFA	18	seqRead	256.0	0.091093239152371342078708375378405651
AFA	22	nsRead	512.0	1.860485106382978723404255319148936170
AFA	22	seqRead	4.0	0.021147368421052631578947368421052632
AFA	22	write	1.0	0.061505191693290734824281150159744409
AFA	22	write	2.0	0.064387743076016499705362404242781379
AFA	28	nsRead	0.5	0.226833333333333333333333333333333333
AFA	28	write	1.0	0.064560428352881183069862315145334013
AFA	30	nsRead	4.0	0.270865947611710323574730354391371341
AFA	31	nsRead	2.0	0.247441662493740610916374561842764146
AFA	33	nsRead	0.5	0.239210526315789473684210526315789474
AFA	34	write	4.0	0.066359140684941061588895863848782869
AFA	35	seqRead	512.0	0.417414634146341463414634146341463415
AFA	36	nsRead	2.0	0.265869850528618301130149471381698870
AFA	36	write	1.0	0.068468280871670702179176755447941889
AFA	37	seqRead	512.0	0.444503117505995203836930455635491607
AFA	37	write	128.0	0.297801637513956084852995906215109788
AFA	40	nsRead	0.0	0.001208333333333333333333333333333333
AFA	40	seqRead	32.0	0.211647887323943661971830985915492958
AFA	41	write	1.0	0.070957591178965224766751484308736217
AFA	43	nsRead	2.0	0.287833333333333333333333333333333333
AFA	43	write	128.0	0.309629256333424135113048215745028603
AFA	45	seqRead	32.0	0.251200000000000000000000000000000000
AFA	46	nsRead	32.0	0.594710843373493975903614457831325301
AFA	48	nsRead	64.0	0.739414847161572052401746724890829694
AFA	49	nsRead	64.0	0.747385971276402789915412139100037924
AFA	50	nsRead	512.0	3.274190000000000000000000000000000000
AFA	50	write	8.0	0.083336607142857142857142857142857143
AFA	51	write	0.5	0.102237816395919909331318473743860975
AFA	51	write	1.0	0.075934426229508196721311475409836066
AFA	52	nsRead	32.0	0.623113409249360910992330931907971183
AFA	53	write	256.0	0.603502199120351859256297481007596961
AFA	54	nsRead	0.0	0.001291666666666666666666666666666667
AFA	57	nsRead	128.0	1.369857142857142857142857142857142857
AFA	57	nsRead	512.0	3.635083333333333333333333333333333333
AFA	58	nsRead	8.0	0.409783884738527214514407684098185699
AFA	58	write	64.0	0.211663181242078580481622306717363752
AFA	59	nsRead	32.0	0.659726359338061465721040189125295508
AFA	59	seqRead	32.0	0.390800000000000000000000000000000000
AFA	59	write	2.0	0.082347767253044654939106901217861976
AFA	60	nsRead	16.0	0.500639751552795031055900621118012422
AFA	60	write	1.0	0.080727777777777777777777777777777778
AFA	60	write	16.0	0.108493395141541193224136184614284608
AFA	61	nsRead	0.0	0.001333333333333333333333333333333333
AFA	61	write	8.0	0.089153785488958990536277602523659306
AFA	62	write	1.0	0.081863539445628997867803837953091684
AFA	63	seqRead	256.0	1.047160305343511450381679389312977099
AFA	63	write	256.0	0.648985294117647058823529411764705882
AFA	64	nsRead	0.0	0.001375000000000000000000000000000000
AFA	64	nsRead	0.5	0.312583333333333333333333333333333333
AFA	65	write	256.0	0.659320000000000000000000000000000000
AFA	66	nsRead	2.0	0.364000000000000000000000000000000000
AFA	66	nsRead	4.0	0.372102564102564102564102564102564103
AFA	67	seqRead	256.0	1.229338902147971360381861575178997613
AFA	67	write	64.0	0.222633333333333333333333333333333333
AFA	67	write	128.0	0.363951612903225806451612903225806452
AFA	71	seqRead	128.0	0.607857287577561099151576548056223882
AFA	71	write	2.0	0.089586956521739130434782608695652174
AFA	72	write	16.0	0.117003664921465968586387434554973822
AFA	74	write	0.0	0.000849465240641711229946524064171123
AFA	78	nsRead	128.0	1.779238532110091743119266055045871560
AFA	79	seqRead	4.0	0.539592592592592592592592592592592593
AFA	80	write	0.5	0.140787296898079763663220088626292467
AFA	80	write	64.0	0.245930232558139534883720930232558140
AFA	81	write	0.0	0.000901871657754010695187165775401070
AFA	81	write	256.0	0.773401669758812615955473098330241187
AFA	82	nsRead	4.0	0.460119110193354608597709780364182467
AFA	82	seqRead	128.0	1.112115639810426540284360189573459716
AFA	84	seqRead	16.0	0.767500000000000000000000000000000000
AFA	84	seqRead	512.0	3.832000000000000000000000000000000000
AFA	85	nsRead	0.0	0.001583333333333333333333333333333333
AFA	86	seqRead	64.0	0.976224971878515185601799775028121485
AFA	87	nsRead	256.0	3.577053254437869822485207100591715976
AFA	92	seqRead	64.0	1.742580952380952380952380952380952381
AFA	93	seqRead	4.0	2.742750000000000000000000000000000000
AFA	93	write	1.0	0.118772727272727272727272727272727273
AFA	95	seqRead	512.0	8.090500000000000000000000000000000000
AFA	97	nsRead	128.0	4.401187155963302752293577981651376147
AFA	97	seqRead	512.0	10.577307258632840028188865398167723749
HFA	0	nsRead	1.0	0.000000000000000000000000000000000000
HFA	0	seqRead	32.0	0.000000000000000000000000000000000000
HFA	1	nsRead	16.0	0.080000000000000000000000000000000000
HFA	1	write	16.0	0.083285695598142455360062790241349990
HFA	3	write	512.0	0.637805633802816901408450704225352113
HFA	5	nsRead	32.0	0.139270327669902912621359223300970874
HFA	8	write	128.0	0.238325420875420875420875420875420875
HFA	9	write	4.0	0.069360056706399722254368707325541025
HFA	9	write	64.0	0.177308394160583941605839416058394161
HFA	11	nsRead	128.0	0.172943821550808450371769149061725481
HFA	11	seqRead	8.0	0.026689922480620155038759689922480620
HFA	11	write	64.0	0.181456230031948881789137380191693291
HFA	14	nsRead	1.0	0.075954545454545454545454545454545455
HFA	14	seqRead	128.0	0.035502546806167400881057268722466960
HFA	14	seqRead	256.0	0.101748982862778942177290099864381704
HFA	14	write	0.5	0.092738017391304347826086956521739130
HFA	16	seqRead	256.0	0.135000000000000000000000000000000000
HFA	17	write	2.0	0.080713964920798689081750318625963464
HFA	18	write	1.0	0.078531157270029673590504451038575668
HFA	18	write	2.0	0.081334008097165991902834008097165992
HFA	19	write	128.0	0.275439279902359641985353946297803092
HFA	21	nsRead	32.0	0.431909090909090909090909090909090909
HFA	21	seqRead	512.0	1.025632258064516129032258064516129032
HFA	23	seqRead	64.0	0.092171972431900229734164752215293732
HFA	23	write	64.0	0.202764705882352941176470588235294118
HFA	24	nsRead	4.0	0.155374201787994891443167305236270754
HFA	26	seqRead	4.0	0.024000000000000000000000000000000000
HFA	27	nsRead	2.0	0.088163841807909604519774011299435028
HFA	28	write	0.5	0.110868421052631578947368421052631579
HFA	33	nsRead	2.0	0.096229249011857707509881422924901186
HFA	33	nsRead	64.0	0.423388888888888888888888888888888889
HFA	33	write	16.0	0.119337874659400544959128065395095368
HFA	37	seqRead	32.0	0.375384615384615384615384615384615385
HFA	37	write	256.0	0.568158536585365853658536585365853659
HFA	38	seqRead	32.0	0.396342364532019704433497536945812808
HFA	38	write	32.0	0.169675262655205348615090735434574976
HFA	40	seqRead	8.0	0.257000000000000000000000000000000000
HFA	41	write	4.0	0.086469659595461272816970892945239270
HFA	41	write	128.0	0.349850820297596337275848912628767646
HFA	42	nsRead	16.0	0.372910059760956175298804780876494024
HFA	43	nsRead	1.0	0.124294117647058823529411764705882353
HFA	43	nsRead	4.0	0.304843075788309054029135165037801955
HFA	43	write	2.0	0.094235130509199828840393667094565682
HFA	44	seqRead	4.0	0.133333333333333333333333333333333333
HFA	47	write	1.0	0.093286828422876949740034662045060659
