model	percentile	io_type	io_size	latency
AFA	0	nsRead	64.0	0.000000000000000000000000000000000000
AFA	1	nsRead	64.0	0.151159783062161034626616604088443888
AFA	2	nsRead	64.0	0.206124037349864988918720640371194051
AFA	3	nsRead	64.0	0.254484184914841849148418491484184915
AFA	4	nsRead	64.0	0.291011077036515677106899267675498131
AFA	5	nsRead	64.0	0.324219626168224299065420560747663551
AFA	6	nsRead	64.0	0.352383561643835616438356164383561644
AFA	7	nsRead	64.0	0.377178854797733046707054914989251515
AFA	8	nsRead	64.0	0.398653900827828413746968810101179028
AFA	9	nsRead	64.0	0.417647058823529411764705882352941176
AFA	10	nsRead	64.0	0.434166666666666666666666666666666667
AFA	11	nsRead	64.0	0.449333571445579446150915541586303784
AFA	12	nsRead	64.0	0.463506838905775075987841945288753799
AFA	13	nsRead	64.0	0.476821875000000000000000000000000000
AFA	14	nsRead	64.0	0.489264029438822447102115915363385465
AFA	15	nsRead	64.0	0.501075326534263732331365181606727500
AFA	16	nsRead	64.0	0.512388470568934055406026593283114302
AFA	17	nsRead	64.0	0.523111111111111111111111111111111111
AFA	18	nsRead	64.0	0.533406886024423337856173677069199457
AFA	19	nsRead	64.0	0.543448159302209337198840347895631311
AFA	20	nsRead	64.0	0.553125969130368621075563756980146431
AFA	21	nsRead	64.0	0.562424725822532402791625124626121635
AFA	22	nsRead	64.0	0.571430302460498736291388530945652234
AFA	23	nsRead	64.0	0.580199430199430199430199430199430199
AFA	24	nsRead	64.0	0.588829389048420635706505594613328052
AFA	25	nsRead	64.0	0.597150554835354910464415066677740504
AFA	26	nsRead	64.0	0.605398945788926936247162479319764534
AFA	27	nsRead	64.0	0.613639127561136814276272306675479180
AFA	28	nsRead	64.0	0.621641014033499320959710276143051154
AFA	29	nsRead	64.0	0.629461538461538461538461538461538462
AFA	30	nsRead	64.0	0.637140538513462836570914272856821421
AFA	31	nsRead	64.0	0.644634022038567493112947658402203857
AFA	32	nsRead	64.0	0.652085710297333767623656414312968219
AFA	33	nsRead	64.0	0.659516870579792344287152894331716690
AFA	34	nsRead	64.0	0.666911850965645708471353560408578151
AFA	35	nsRead	64.0	0.674224759584283420915623942310578499
AFA	36	nsRead	64.0	0.681500000000000000000000000000000000
AFA	37	nsRead	64.0	0.688665265972686467386114029223569860
AFA	38	nsRead	64.0	0.695799213510866558511950597716789151
AFA	39	nsRead	64.0	0.702878227758190982233642530340397535
AFA	40	nsRead	64.0	0.709935797665369649805447470817120623
AFA	41	nsRead	64.0	0.716974888962415460020861606792359717
AFA	42	nsRead	64.0	0.723989509225948080107442786176989337
AFA	43	nsRead	64.0	0.731016470588235294117647058823529412
AFA	44	nsRead	64.0	0.738066699922689489911392509892773684
AFA	45	nsRead	64.0	0.745096153846153846153846153846153846
AFA	46	nsRead	64.0	0.752148043880104016076839415110975844
AFA	47	nsRead	64.0	0.759207344451571520205259781911481719
AFA	48	nsRead	64.0	0.766250875656742556917688266199649737
AFA	49	nsRead	64.0	0.773371391513154435349587225912747796
AFA	50	nsRead	64.0	0.780539202200825309491059147180192572
AFA	51	nsRead	64.0	0.787705775510598419415299596158676792
AFA	52	nsRead	64.0	0.794976450951464079417869020529619164
AFA	53	nsRead	64.0	0.802344121586529262225623923680397999
AFA	54	nsRead	64.0	0.809805742057168979505925571467801956
AFA	55	nsRead	64.0	0.817355645918048170159524554269627776
AFA	56	nsRead	64.0	0.825000000000000000000000000000000000
AFA	57	nsRead	64.0	0.832696584855806592909725460274398429
AFA	58	nsRead	64.0	0.840613210093104844150586965321818918
AFA	59	nsRead	64.0	0.848615142782289756353156929525805606
AFA	60	nsRead	64.0	0.856843988361543034133216531614679473
AFA	61	nsRead	64.0	0.865178571428571428571428571428571429
AFA	62	nsRead	64.0	0.873710019504679484027470456147252135
