model	io_type	io_size	percentile	latency	mints	maxts	cnt
AFA	write	16.0	0	0.000000000000000000000000000000000000	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	1	0.067243142144638403990024937655860349	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	2	0.070221883173496076721883173496076722	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	3	0.072279069767441860465116279069767442	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	4	0.073843939878477774224496322353693636	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	5	0.075144802900706582372629230197099293	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	6	0.076285393258426966292134831460674157	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	7	0.077313113807047949162333911034084344	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	8	0.078243506493506493506493506493506494	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	9	0.079100793126239259748843357567746200	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	10	0.079896390901915763794216832890866040	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	11	0.080644565428738090608594205716507875	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	12	0.081360028348688873139617292700212615	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	13	0.082047461928934010152284263959390863	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	14	0.082707547169811320754716981132075472	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	15	0.083348831464005138593804041701665102	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	16	0.083971428571428571428571428571428571	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	17	0.084573769318832283915283342873497424	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	18	0.085160000000000000000000000000000000	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	19	0.085732954545454545454545454545454545	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	20	0.086295464869088068026963678979595545	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	21	0.086849584377886264678717508906188151	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	22	0.087393402264894140817331363860167405	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	23	0.087930022021042329336921947638854906	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	24	0.088459779847586790855207451312447079	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	25	0.088984969619443556124080588423409018	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
