model	io_type	io_size	percentile	latency	cnt	mints	maxts
HFA	nsRead	512.0	0	0.000000000000000000000000000000000000	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	1	0.215714285714285714285714285714285714	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	2	0.243628571428571428571428571428571429	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	3	0.260117647058823529411764705882352941	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	4	0.271800000000000000000000000000000000	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	5	0.282428571428571428571428571428571429	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	6	0.292500000000000000000000000000000000	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	7	0.302785714285714285714285714285714286	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	8	0.313750000000000000000000000000000000	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	9	0.325500000000000000000000000000000000	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	10	0.339199743918053777208706786171574904	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	11	0.354142857142857142857142857142857143	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	12	0.369500000000000000000000000000000000	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	13	0.387000000000000000000000000000000000	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	14	0.405307692307692307692307692307692308	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	15	0.427142857142857142857142857142857143	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	16	0.452177304964539007092198581560283688	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	17	0.479777777777777777777777777777777778	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	18	0.510222222222222222222222222222222222	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	19	0.546042968750000000000000000000000000	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	20	0.589000000000000000000000000000000000	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	21	0.640500000000000000000000000000000000	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	22	0.695018276762402088772845953002610966	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	23	0.759200000000000000000000000000000000	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	24	0.834000000000000000000000000000000000	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	25	0.913837500000000000000000000000000000	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	26	0.997277777777777777777777777777777778	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	27	1.085025000000000000000000000000000000	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	28	1.185111111111111111111111111111111111	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	29	1.293272727272727272727272727272727273	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	30	1.409665338645418326693227091633466135	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	31	1.529692307692307692307692307692307692	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	32	1.655225108225108225108225108225108225	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	33	1.784500000000000000000000000000000000	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	34	1.915594594594594594594594594594594595	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	35	2.048240000000000000000000000000000000	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	36	2.180939393939393939393939393939393939	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	37	2.310287158041470639484230702212929082	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	38	2.436166666666666666666666666666666667	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	39	2.559150943396226415094339622641509434	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	40	2.678000000000000000000000000000000000	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	41	2.795467046379170056956875508543531326	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	42	2.913186528497409326424870466321243523	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	43	3.030500000000000000000000000000000000	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	44	3.147000000000000000000000000000000000	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	45	3.262323529411764705882352941176470588	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	46	3.378291187739463601532567049808429119	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	47	3.495000000000000000000000000000000000	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	48	3.614000000000000000000000000000000000	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	49	3.734500000000000000000000000000000000	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	50	3.857899606299212598425196850393700787	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	51	3.982608863198458574181117533718689788	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	52	4.110000000000000000000000000000000000	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	53	4.239645962732919254658385093167701863	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	54	4.372452380952380952380952380952380952	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	55	4.510000000000000000000000000000000000	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	56	4.652111111111111111111111111111111111	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	57	4.797500000000000000000000000000000000	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	58	4.948333333333333333333333333333333333	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	59	5.104368217054263565891472868217054264	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	60	5.266200000000000000000000000000000000	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	61	5.434082191780821917808219178082191781	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	62	5.606984615384615384615384615384615385	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	63	5.787761904761904761904761904761904762	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	64	5.976000000000000000000000000000000000	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	65	6.172500000000000000000000000000000000	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	66	6.377528099528099528099528099528099528	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	67	6.592307692307692307692307692307692308	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	68	6.816925243770314192849404117009750813	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	69	7.052714285714285714285714285714285714	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	70	7.301500000000000000000000000000000000	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	71	7.562550387596899224806201550387596899	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	72	7.837857142857142857142857142857142857	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	73	8.128182825484764542936288088642659280	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	74	8.435200000000000000000000000000000000	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	75	8.760839009287925696594427244582043344	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	76	9.107300000000000000000000000000000000	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	77	9.474445930880713489409141583054626533	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	78	9.863933333333333333333333333333333333	213055	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	79	10.280701268742791234140715109573241061	213054	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	80	10.725322237017310252996005326231691079	213054	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	81	11.203307692307692307692307692307692308	213054	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	82	11.713897435897435897435897435897435897	213054	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	83	12.267944444444444444444444444444444444	213054	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	84	12.864202764976958525345622119815668203	213054	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	85	13.509634836427939876215738284703801945	213054	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	86	14.212142857142857142857142857142857143	213054	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	87	14.982892609699769053117782909930715935	213054	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	88	15.839076744186046511627906976744186047	213054	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	89	16.793495726495726495726495726495726496	213054	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	90	17.872000000000000000000000000000000000	213054	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	91	19.118716110716820440028388928317955997	213054	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	92	20.563777777777777777777777777777777778	213054	2022-02-22 00:00:00	2022-02-25 23:59:00
HFA	nsRead	512.0	93	22.286339805825242718446601941747572816	213054	2022-02-22 00:00:00	2022-02-25 23:59:00
