model	io_type	io_size	percentile	latency	mints	maxts	cnt
AFA	nsRead	128.0	0	0.000000000000000000000000000000000000	2022-02-26 00:00:00	2022-03-07 23:59:00	689713
AFA	nsRead	128.0	1	0.115414860471416960173394743971823354	2022-02-26 00:00:00	2022-03-07 23:59:00	689713
AFA	nsRead	128.0	2	0.162586956521739130434782608695652174	2022-02-26 00:00:00	2022-03-07 23:59:00	689713
AFA	nsRead	128.0	3	0.212714285714285714285714285714285714	2022-02-26 00:00:00	2022-03-07 23:59:00	689713
AFA	nsRead	128.0	4	0.274196078431372549019607843137254902	2022-02-26 00:00:00	2022-03-07 23:59:00	689713
AFA	nsRead	128.0	5	0.340013605442176870748299319727891156	2022-02-26 00:00:00	2022-03-07 23:59:00	689713
AFA	nsRead	128.0	6	0.398255813953488372093023255813953488	2022-02-26 00:00:00	2022-03-07 23:59:00	689713
AFA	nsRead	128.0	7	0.450500000000000000000000000000000000	2022-02-26 00:00:00	2022-03-07 23:59:00	689713
AFA	nsRead	128.0	8	0.495845454545454545454545454545454545	2022-02-26 00:00:00	2022-03-07 23:59:00	689713
AFA	nsRead	128.0	9	0.534647058823529411764705882352941176	2022-02-26 00:00:00	2022-03-07 23:59:00	689713
AFA	nsRead	128.0	10	0.567405409799719163402557091124085433	2022-02-26 00:00:00	2022-03-07 23:59:00	689713
AFA	nsRead	128.0	11	0.595461625923820352472996020466173962	2022-02-26 00:00:00	2022-03-07 23:59:00	689713
AFA	nsRead	128.0	12	0.619000000000000000000000000000000000	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	13	0.639850000000000000000000000000000000	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	14	0.659055555555555555555555555555555556	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	15	0.677222222222222222222222222222222222	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	16	0.694596491228070175438596491228070175	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	17	0.711426496478873239436619718309859155	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	18	0.728000000000000000000000000000000000	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	19	0.744493750000000000000000000000000000	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	20	0.760914191419141914191419141914191419	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	21	0.777377682403433476394849785407725322	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	22	0.794000000000000000000000000000000000	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	23	0.810410138790872735826864267231239708	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	24	0.826669117647058823529411764705882353	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	25	0.842814814814814814814814814814814815	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	26	0.858730303030303030303030303030303030	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	27	0.874266666666666666666666666666666667	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	28	0.889700302232621624256605245198401092	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	29	0.905000000000000000000000000000000000	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
