Array SN	Array Hostname	reads	writes	readBytes	writeBytes	Sensors Local Timestamp	op_size_kb_lwr	op_size_kb_upr	op_type	num_ops	time_ops	latency_ms
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	0.0	0.5	nsRead	0	0	0
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	0.5	1.0	nsRead	0	0	0
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	1.0	2.0	nsRead	0	0	0
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	2.0	4.0	nsRead	0	0	0
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	4.0	8.0	nsRead	2228	1732887	0.777776929982046678635547576301615799
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	8.0	16.0	nsRead	1359	3004421	2.210758646063281824871228844738778514
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	16.0	32.0	nsRead	676	3979731	5.887176035502958579881656804733727811
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	32.0	64.0	nsRead	116	582588	5.022310344827586206896551724137931034
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	64.0	128.0	nsRead	70	315946	4.513514285714285714285714285714285714
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	128.0	256.0	nsRead	62	374218	6.035774193548387096774193548387096774
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	256.0	512.0	nsRead	240	1327615	5.531729166666666666666666666666666667
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	512.0	0	nsRead	15	136386	9.092400000000000000000000000000000000
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	0.0	0.5	seqRead	0	0	0
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	0.5	1.0	seqRead	0	0	0
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	1.0	2.0	seqRead	0	0	0
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	2.0	4.0	seqRead	0	0	0
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	4.0	8.0	seqRead	0	0	0
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	8.0	16.0	seqRead	64	392293	6.129578125000000000000000000000000000
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	16.0	32.0	seqRead	52	387838	7.458423076923076923076923076923076923
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	32.0	64.0	seqRead	48	220671	4.597312500000000000000000000000000000
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	64.0	128.0	seqRead	70	235113	3.358757142857142857142857142857142857
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	128.0	256.0	seqRead	63	156992	2.491936507936507936507936507936507937
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	256.0	512.0	seqRead	560	2694594	4.811775000000000000000000000000000000
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	512.0	0	seqRead	434	4825310	11.118225806451612903225806451612903226
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	0.0	0.5	write	0	0	0
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	0.5	1.0	write	0	0	0
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	1.0	2.0	write	0	0	0
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	2.0	4.0	write	0	0	0
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	4.0	8.0	write	337452	335381117	0.993863177577848108768061828052582293
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	8.0	16.0	write	137926	151741196	1.100163826979684758493685019503211867
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	16.0	32.0	write	28516	49495197	1.735699151353626034506943470332444943
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	32.0	64.0	write	13652	11672740	0.855020509815411661295048344564898916
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	64.0	128.0	write	3045	4428317	1.454291297208538587848932676518883415
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	128.0	256.0	write	1092	2919469	2.673506410256410256410256410256410256
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	256.0	512.0	write	3616	4431739	1.225591537610619469026548672566371681
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	512.0	0	write	665	4444886	6.684039097744360902255639097744360902
AF-217503	gb4sn-005	6057	525964	913301504	6573244416	2021-11-28 10:00:00	999.0	0	write	525964	564514661	1.073295246442722315595744195420218874
